0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
stonew00w,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stonew000,stoneww00
stone000w,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0000,stone0000,stonewwww,stonewwww,stone0000,stone0000,stone0w00
stone000w,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0000,stone0w00
stone00ww,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone00w0,stone0ww0
